COMUN:RESPUESTA1|1) ¿A un trabajador con menos de 3 meses al servicio de la empresa, le corresponde liquidación? \nCorresponde al trabajador por mes trabajado o fracción los beneficios sociales derivados en base al tiempo de servicio prestado. \nÁrea: Relaciones Laborales \nTema: Liquidaciones \nEmpresa: Diario El Universal, FAM, Publika XXI \nFormato / Documentos / Leyes involucradas: LOTTT \n
COMUN:RESPUESTA2|2) ¿A qué área se notifica el egreso para que elabore la respectiva liquidación?    \nSe debe informar de manera inmediata a Administración de Gestión Humana la terminación de la relación de trabajo. La carta de renuncia o despido es un requisito indispensable para activar el proceso. En caso de despido, debe contactar antes a Relaciones Laborales para que lo asesore. \nProcedimiento: Remitir la carta original de renuncia a la Gerencia de Administración de Gestión Humana junto con el carné del trabajador egresado. \nÁrea: Relaciones Laborales \nTema: Liquidaciones \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor \nToma de decisión: Gerente del área \nFormato / Documentos / Leyes involucradas: Carta de renuncia o despido \n
COMUN:RESPUESTA3|3) ¿Quién notifica al trabajador retirado para que busque su liquidación? \nLa Gerencia de Relaciones Laborales. \nÁrea: Relaciones Laborales \nTema: Liquidaciones \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Gerencia de Relaciones Laborales \nToma de decisión: Gerencia de Relaciones Laborales \n
COMUN:RESPUESTA4|4) ¿A quiénes aplica la Convención Colectiva?  \nAl personal definido en la convención colectiva, que regula las condiciones de trabajo existentes entre las partes. La información específica de los cargos puede ubicarse en cada convención. \nÁrea: Relaciones Laborales \nTema: Negociación de convenciones \nEmpresa: Diario el Universal \nResponsable: Gerencia de Relaciones Laborales y Sindicatos \nFormato / Documentos / Leyes involucradas: Convencion Colectiva de Trabajo \n¿Dónde ubicarlo?: Gerencia de Relaciones Laborales
COMUN:RESPUESTA5|5) Como supervisor, ¿estoy obligado a conocer el contenido de la Convención Colectiva? \nSí, porque debe tener conocimientos sobre las condiciones de trabajo y prestación del servicio de todos sus colaboradores. \nProcedimiento: Inducción con la Gerencia de Relaciones Laborales. \nÁrea: Relaciones Laborales \nTema: Negociación de convenciones \nEmpresa: Diario el Universal \nResponsable: Supervisor \nFormato / Documentos / Leyes involucradas: Convencion Colectiva de Trabajo \n¿Dónde ubicarlo?: Gerencia de Relaciones Laborales
COMUN:RESPUESTA6|6) ¿Cuándo el trabajador incurre en una falta? \nCuando su conducta viola obligaciones o deberes que le impone la relación de trabajo indicadas en el art. 79 de la LOTTT. Dependiendo de su gravedad, puede ser utilizada para calificar el despido y/o para amonestar al trabajador. \nProcedimiento: Pedir asesoría a la Gerencia de Relaciones Laborales para levantar un acta donde se deje constancia de la falta cometida. \nÁrea: Relaciones Laborales \nTema: Calificaciones de falta \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor y Gerencia de Relaciones Laborales \nToma de decisión: Supervisor \nFormato / Documentos / Leyes involucradas: LOTTT \n
COMUN:RESPUESTA7|7) ¿Qué debe hacer el supervisor luego de levantarse el acta de la presunta falta? \nEntregar el acta a la Gerencia de Relaciones Laborales, antes de cumplirse treinta (30) días de la falta para tramitar el procedimiento ante el órgano competente. De lo contrario, opera el perdón de la falta. \nProcedimiento: Entregar el documento firmado por el trabajor y el supervisor a la Gerencia de Relaciones Laborales, quien inicia las gestiones ante la inspectoría del trabajo. \nÁrea: Relaciones Laborales \nTema: Calificaciones de falta \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor y Gerencia de Relaciones Laborales \nToma de decisión: Supervisor y Gerencia de Relaciones Laborales \nFormato / Documentos / Leyes involucradas: LOTTT \n
COMUN:RESPUESTA8|8) ¿A qué tipo de trabajadores se les debe calificar la falta previo a su despido? \nA los trabajadores amparados por inamovilidad laboral establecida en el articulo 420 de la LOTTT y por el Decreto de Inamovilidad Especial dictado por el Ejecutivo Nacional, mientras este último se encuentre vigente. \nProcedimiento: Pedir asesoría a la Gerencia de Relaciones Laborales para iniciar procedimiento de calificacion de falta. \nÁrea: Relaciones Laborales \nTema: Calificaciones de falta \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor y Gerencia de Relaciones Laborales \nToma de decisión: Gerente de Relaciones Laborales \nFormato / Documentos / Leyes involucradas: LOTTT \n
COMUN:RESPUESTA9|9) ¿Qué información debe dar el supervisor para calificar la falta de un trabajador? \nEl supervisor inmediato del trabajador a quien se pretenda calificar una falta, debe aportar todas las pruebas o actas levantadas con reporte de las infracciones cometidas. \nProcedimiento: Pedir asesoría a la Gerencia de Relaciones Laborales para levantar un acta donde se deje constancia de la falta cometida. \nÁrea: Relaciones Laborales \nTema: Calificaciones de falta \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor y Gerencia de Relaciones Laborales \nToma de decisión: Supervisor \nFormato / Documentos / Leyes involucradas: LOTTT \n¿Dónde ubicarlo?: Gerencia de Relaciones Laborales
COMUN:RESPUESTA10|10) ¿Qué hacer con el trabajador mientras dura el proceso de calificación de despido? \nEl trabajador deberá continuar en ejercicio de sus funciones hasta tanto haya un pronunciamiento de la Inspectoría del Trabajo.  \nÁrea: Relaciones Laborales \nTema: Despidos \nEmpresa: Diario El Universal, FAM, Publika XXI \nResponsable: Supervisor \nToma de decisión: Supervisor \nFormato / Documentos / Leyes involucradas: LOTTT \n
